Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,3680,1,3680.0,3680.0,3680,3680,0.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)0, (bool)1, cuda::std::__4::tuple<cuda::__4::counting_iterator<long, __int128>>, thrust::transform_iterator<cudf::detail::mutable_value_accessor<long>, cuda::__4::counting_iterator<int, long>, thrust::use_default, thrust::use_default>>, int, cuda::__4::always_true, cuda::__4::__callable_permitting_copied_arguments<cudf::detail::<unnamed>::tabulator<long>>, thrust::transform_iterator<cudf::detail::mutable_value_accessor<long>, cuda::__4::counting_iterator<int, long>, thrust::use_default, thrust::use_default>, cuda::__4::counting_iterator<long, __int128>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.1,3619,2,1809.5,1809.5,1749,1870,85.6,"void cub::detail::reduce::DeviceReduceKernel<cub::detail::reduce::policy_selector_from_types<long, unsigned int, cudf::detail::cast_functor_fn<long, cudf::DeviceSum>>, thrust::transform_iterator<cudf::detail::cast_fn<long>, thrust::transform_iterator<cudf::detail::value_accessor<bool>, cuda::__4::counting_iterator<int, long>, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>, unsigned int, cudf::detail::cast_functor_fn<long, cudf::DeviceSum>, long, cuda::std::__4::identity>(T2, T5 *, T3, cub::GridEvenShare<T3>, T4, T6)"
0.1,3589,4,897.3,905.0,874,905,15.5,"void cub::detail::scan::DeviceScanInitKernel<cub::detail::scan::policy_selector_from_types<thrust::transform_iterator<cudf::strings::detail::string_offsets_fn<thrust::transform_iterator<cuda::__4::__detail::__return_type_wrapper<int, std::unique_ptr<cudf::column, std::default_delete<cudf::column>> cudf::strings::detail::gather<(bool)0, cudf::detail::input_indexalator>(const cudf::strings_column_view &, T2, T2, rmm::cuda_stream_view, cuda::mr::__4::__version_bump_ver4_::resource_ref<cuda::mr::__4::device_accessible>)::[lambda(int) (instance 1)]>, cudf::detail::input_indexalator, thrust::use_default, thrust::use_default>>, cuda::__4::counting_iterator<int, long>, thrust::use_default, thrust::use_default>, cudf::detail::sizes_to_offsets_iterator<int *, long>, long, unsigned int, cuda::std::__4::plus<void>>, thrust::transform_iterator<cudf::strings::detail::string_offsets_fn<thrust::transform_iterator<cuda::__4::__detail::__return_type_wrapper<int, std::unique_ptr<cudf::column, std::default_delete<cudf::column>> cudf::strings::detail::gather<(bool)0, cudf::detail::input_indexalator>(const cudf::strings_column_view &, T2, T2, rmm::cuda_stream_view, cuda::mr::__4::__version_bump_ver4_::resource_ref<cuda::mr::__4::device_accessible>)::[lambda(int) (instance 1)]>, cudf::detail::input_indexalator, thrust::use_default, thrust::use_default>>, cuda::__4::counting_iterator<int, long>, thrust::use_default, thrust::use_default>, cudf::detail::sizes_to_offsets_iterator<int *, long>, cub::ScanTileState<long, (bool)1>, long>(cub::detail::scan::tile_state_kernel_arg_t<T4, T5>, int)"
0.1,3498,1,3498.0,3498.0,3498,3498,0.0,"void cub::detail::scan_by_key::DeviceScanByKeyKernel<cub::detail::scan_by_key::policy_selector_from_hub<cub::detail::scan_by_key::policy_hub<thrust::transform_iterator<cudf::io::parquet::detail::get_page_key, cuda::std::__4::__wrap_iter<const cudf::io::parquet::detail::PageInfo *>, thrust::use_default, thrust::use_default>, unsigned long, unsigned long, cuda::std::__4::plus<void>>>, thrust::transform_iterator<cudf::io::parquet::detail::get_page_key, cuda::std::__4::__wrap_iter<const cudf::io::parquet::detail::PageInfo *>, thrust::use_default, thrust::use_default>, thrust::transform_iterator<cudf::io::parquet::detail::page_to_string_size, cudf::io::parquet::detail::PageInfo *, thrust::use_default, thrust::use_default>, cudf::io::parquet::detail::page_offset_output_iter, cub::ReduceByKeyScanTileState<unsigned long, int, (bool)1>, cuda::std::__4::equal_to<void>, cuda::std::__4::plus<void>, unsigned long, unsigned int, unsigned long, int>(T2, T11 *, T3, T4, T5, int, T6, T7, T8, T9)"
0.1,3407,2,1703.5,1703.5,1417,1990,405.2,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<const long *>, double *>, int, cuda::__4::always_true, cudf::detail::<unnamed>::unary_cast<double>, double *, const long *>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.1,3378,2,1689.0,1689.0,1508,1870,256.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<thrust::transform_iterator<cudf::detail::pair_accessor<double, (bool)0>, cuda::__4::counting_iterator<int, long>, thrust::use_default, thrust::use_default>>, bool *>, int, cuda::__4::always_true, cudf::detail::is_nan(const cudf::column_view &, rmm::cuda_stream_view, cuda::mr::__4::__version_bump_ver4_::resource_ref<cuda::mr::__4::device_accessible>)::[lambda(T1) (instance 1)], bool *, thrust::transform_iterator<cudf::detail::pair_accessor<double, (bool)0>, cuda::__4::counting_iterator<int, long>, thrust::use_default, thrust::use_default>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.1,3287,1,3287.0,3287.0,3287,3287,0.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<cuda::__4::counting_iterator<unsigned long, __int128>>, unsigned long *>, int, cuda::__4::always_true, cudf::io::parquet::detail::<unnamed>::compute_page_offset_count, unsigned long *, cuda::__4::counting_iterator<unsigned long, __int128>>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.1,3287,1,3287.0,3287.0,3287,3287,0.0,"void cub::detail::transform::transform_kernel<cub::detail::transform::policy_selector_from_types<(bool)1, (bool)1, cuda::std::__4::tuple<int *>, cudf::io::parquet::detail::PageInfo *>, int, cuda::__4::always_true, cuda::__4::__detail::__return_type_wrapper<cudf::io::parquet::detail::PageInfo, cudf::io::parquet::detail::sort_pages(cuda::std::__4::span<const cudf::io::parquet::detail::PageInfo, (unsigned long)18446744073709551615>, cuda::std::__4::span<const cudf::io::parquet::detail::ColumnChunkDesc, (unsigned long)18446744073709551615>, rmm::cuda_stream_view)::[lambda(int) (instance 1)]>, cudf::io::parquet::detail::PageInfo *, int *>(T2, int, bool, T3, T4, T5, cub::detail::transform::kernel_arg<T6>...)"
0.1,3106,1,3106.0,3106.0,3106,3106,0.0,"void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detail::batch_memcpy::policy_selector, thrust::transform_iterator<cuda::__4::__detail::__return_type_wrapper<int *, cudf::io::parquet::detail::write_final_offsets(cudf::host_span<const int, (unsigned long)18446744073709551615>, cudf::host_span<int *const , (unsigned long)18446744073709551615>, rmm::cuda_stream_view)::[lambda(unsigned long) (instance 1)]>, cuda::__4::counting_iterator<unsigned long, __int128>, thrust::use_default, thrust::use_default>, int **, cuda::__4::constant_iterator<unsigned long, long>, unsigned int, const void **, void **, unsigned long *, unsigned int *, unsigned int, cub::ScanTileState<unsigned int, (bool)1>, cub::ScanTileState<unsigned int, (bool)1>, (cub::CopyAlg)0>(T2, T3, T4, T5, T6, T7, T8, T9, T11, T12)"
0.1,2834,2,1417.0,1417.0,1387,1447,42.4,"void cub::detail::reduce::DeviceReduceSingleTileKernel<cub::detail::reduce::policy_selector_from_types<long, unsigned int, cudf::detail::cast_functor_fn<long, cudf::DeviceSum>>, long *, long *, int, cudf::detail::cast_functor_fn<long, cudf::DeviceSum>, long, long, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.1,2654,2,1327.0,1327.0,1327,1327,0.0,"void cub::detail::reduce::DeviceReduceSingleTileKernel<cub::detail::reduce::policy_selector_from_types<unsigned long, unsigned long long, cuda::std::__4::plus<unsigned long>>, unsigned long *, unsigned long *, unsigned long long, cuda::std::__4::plus<unsigned long>, unsigned long, unsigned long, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
0.1,2624,1,2624.0,2624.0,2624,2624,0.0,"void cub::detail::batch_memcpy::MultiBlockBatchMemcpyKernel<cub::detail::batch_memcpy::policy_selector, unsigned int, const void **, void **, unsigned long *, unsigned int *, cub::ScanTileState<unsigned int, (bool)1>, unsigned int, (cub::CopyAlg)0>(T3, T4, T5, T6, T7, T8)"
0.1,2624,2,1312.0,1312.0,1267,1357,63.6,"void cudf::detail::single_thread_kernel<cudf::reduction::simple::detail::assign_scalar_fn<long, long>>(T1)"
0.0,2594,1,2594.0,2594.0,2594,2594,0.0,"void cub::detail::select::DeviceSelectSweepKernel<cub::detail::select::policy_selector_from_types<int *, cub::NullType *, int *, long, (cub::SelectImpl)0>, int *, cub::NullType *, int *, unsigned long *, cub::ScanTileState<int, (bool)1>, cuda::__4::__detail::__return_type_wrapper<bool, rmm::device_uvector<int> cudf::detail::reduce_by_row<cudf::detail::row::equality::device_row_comparator<(bool)0, cudf::nullate::DYNAMIC, cudf::detail::row::equality::nan_equal_physical_equality_comparator>>(cuco::static_set<int, cuco::extent<long, (unsigned long)18446744073709551615>, (cuda::std::__4::thread_scope)1, T1, cuco::linear_probing<(int)1, cudf::detail::row::hash::device_row_hasher<cudf::hashing::detail::MurmurHash3_x86_32, cudf::nullate::DYNAMIC>>, rmm::mr::polymorphic_allocator<char>, cuco::storage<(int)1>> &, int, cudf::duplicate_keep_option, rmm::cuda_stream_view, cuda::mr::__4::__version_bump_ver4_::resource_ref<cuda::mr::__4::device_accessible>)::[lambda() (instance 1)]::operator ()() const::[lambda(T1) (instance 2)]>, cub::NullType, int, cub::detail::select::streaming_context_t<long, (bool)1>, (cub::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::detail::vsmem_t)"
0.0,2534,1,2534.0,2534.0,2534,2534,0.0,"void cub::detail::batch_memcpy::MultiBlockBatchMemcpyKernel<cub::detail::batch_memcpy::policy_selector, unsigned int, cuda::__4::constant_iterator<unsigned int, long> *, unsigned int **, unsigned long *, unsigned int *, cub::ScanTileState<unsigned int, (bool)1>, unsigned int, (cub::CopyAlg)1>(T3, T4, T5, T6, T7, T8)"
